,"Mjerenje RGB 3,5ml bijelog vina",,,,,
,Vrijeme između mjerenja [ms],R,G,B,W,Vrijednost dodira
,617,2993,3682,2766,10448,1222
,617,2993,3681,2766,10446,1221
,617,2994,3680,2765,10444,1220
,617,2994,3680,2765,10447,1222
,617,2992,3675,2762,10438,1223
,617,2991,3675,2762,10438,1222
,617,2991,3675,2762,10435,1219
,617,2989,3673,2761,10430,1222
,617,2990,3675,2761,10432,1225
,617,2990,3675,2761,10431,1223
,617,2989,3675,2761,10426,1221
,617,2988,3675,2761,10423,1221
,617,2988,3675,2761,10421,1223
,617,2987,3674,2760,10416,1223
,617,2985,3671,2758,10409,1220
,617,2985,3671,2758,10408,1221
,617,2984,3670,2757,10404,1224
,617,2982,3668,2755,10398,1224
,617,2982,3668,2755,10398,1220
,617,2972,3658,2744,10362,1219
,617,2981,3667,2753,10395,1219
,617,2981,3668,2753,10396,1226
,617,2980,3667,2752,10393,1245
,617,2979,3666,2751,10387,1235
,617,2974,3660,2746,10370,1242
,617,2949,3632,2723,10284,1255
,617,2805,3453,2586,9779,1236
,617,2964,3648,2736,10329,1235
,617,2966,3650,2738,10335,1234
,617,2966,3651,2739,10337,1228
,617,2967,3652,2739,10338,1236
,617,2967,3652,2739,10337,1231
